Agent_Persona,Idea_Category_Code,Idea_Category_Full_Name,Stage,Question_ID,Question_Relevance,Specific_Question_Prompt
Idea Enquirer AI,Prd,Product Innovation,1. Concept Definition & Scope,Q1,General,"Describe your idea in a sentence or two. What is its primary goal?"
Idea Enquirer AI,Prd,Product Innovation,1. Concept Definition & Scope,Q2,General,"Who are the primary users or beneficiaries of this idea?"
Idea Enquirer AI,Prd,Product Innovation,1. Concept Definition & Scope,Q3,General,"What is the current state or existing solution (if any)? How is your idea different or better?"
Idea Enquirer AI,Prd,Product Innovation,1. Concept Definition & Scope,Q4,General,"What are the key features or components of your idea as you currently envision them?"
Idea Enquirer AI,Prd,Product Innovation,1. Concept Definition & Scope,Q-P1,Category-Specific,"What new product or significant improvement to an existing product are you proposing?"
Idea Enquirer AI,Prd,Product Innovation,2. Opportunity & Impact Analysis,Q5,General,"What is the potential impact or value if this idea is successfully implemented (e.g., revenue, cost savings, efficiency, user satisfaction, societal benefit)?"
Idea Enquirer AI,Prd,Product Innovation,2. Opportunity & Impact Analysis,Q6,General,"How would you measure the success of this idea? What are the key metrics?"
Idea Enquirer AI,Prd,Product Innovation,2. Opportunity & Impact Analysis,Q7,General,"What are the potential risks or challenges in implementing this idea?"
Idea Enquirer AI,Prd,Product Innovation,2. Opportunity & Impact Analysis,Q8,General,"Are there any known competitors or similar solutions? If so, what is your unique selling proposition?"
Idea Enquirer AI,Prd,Product Innovation,2. Opportunity & Impact Analysis,Q-P2,Category-Specific,"What is the estimated market size or demand for this product?"
Idea Enquirer AI,Prd,Product Innovation,3. Solution Outline & Implementation Approach,Q9,General,"What resources (e.g., team, budget, technology, expertise) would be essential to develop and implement this idea?"
Idea Enquirer AI,Prd,Product Innovation,3. Solution Outline & Implementation Approach,Q10,General,"What would be the first few steps to explore or develop this idea further?"
Idea Enquirer AI,Prd,Product Innovation,3. Solution Outline & Implementation Approach,Q11,General,"How could you create a small-scale pilot, prototype, or experiment to test the core assumptions of your idea?"
Idea Enquirer AI,Prd,Product Innovation,3. Solution Outline & Implementation Approach,Q12,General,"What does a successful outcome or ""done"" look like for the initial implementation or pilot?"
Idea Enquirer AI,Prd,Product Innovation,3. Solution Outline & Implementation Approach,Q-P3,Category-Specific,"What are the key technical components or technologies required?"
Idea Enquirer AI,Srv,Service Innovation,1. Concept Definition & Scope,Q1,General,"Describe your idea in a sentence or two. What is its primary goal?"
Idea Enquirer AI,Srv,Service Innovation,1. Concept Definition & Scope,Q2,General,"Who are the primary users or beneficiaries of this idea?"
Idea Enquirer AI,Srv,Service Innovation,1. Concept Definition & Scope,Q3,General,"What is the current state or existing solution (if any)? How is your idea different or better?"
Idea Enquirer AI,Srv,Service Innovation,1. Concept Definition & Scope,Q4,General,"What are the key features or components of your idea as you currently envision them?"
Idea Enquirer AI,Srv,Service Innovation,1. Concept Definition & Scope,Q-Srv1,Category-Specific,"What new service or significant enhancement to an existing service are you proposing?"
Idea Enquirer AI,Srv,Service Innovation,2. Opportunity & Impact Analysis,Q5,General,"What is the potential impact or value if this idea is successfully implemented (e.g., revenue, cost savings, efficiency, user satisfaction, societal benefit)?"
Idea Enquirer AI,Srv,Service Innovation,2. Opportunity & Impact Analysis,Q6,General,"How would you measure the success of this idea? What are the key metrics?"
Idea Enquirer AI,Srv,Service Innovation,2. Opportunity & Impact Analysis,Q7,General,"What are the potential risks or challenges in implementing this idea?"
Idea Enquirer AI,Srv,Service Innovation,2. Opportunity & Impact Analysis,Q8,General,"Are there any known competitors or similar solutions? If so, what is your unique selling proposition?"
Idea Enquirer AI,Srv,Service Innovation,2. Opportunity & Impact Analysis,Q-Srv2,Category-Specific,"What is the target clientele for this service? How does it meet their needs?"
Idea Enquirer AI,Srv,Service Innovation,3. Solution Outline & Implementation Approach,Q9,General,"What resources (e.g., team, budget, technology, expertise) would be essential to develop and implement this idea?"
Idea Enquirer AI,Srv,Service Innovation,3. Solution Outline & Implementation Approach,Q10,General,"What would be the first few steps to explore or develop this idea further?"
Idea Enquirer AI,Srv,Service Innovation,3. Solution Outline & Implementation Approach,Q11,General,"How could you create a small-scale pilot, prototype, or experiment to test the core assumptions of your idea?"
Idea Enquirer AI,Srv,Service Innovation,3. Solution Outline & Implementation Approach,Q12,General,"What does a successful outcome or ""done"" look like for the initial implementation or pilot?"
Idea Enquirer AI,Srv,Service Innovation,3. Solution Outline & Implementation Approach,Q-Srv3,Category-Specific,"What systems, processes, or human resources are needed to deliver this service effectively?"
Idea Enquirer AI,Prc,Process Innovation / Efficiency,1. Concept Definition & Scope,Q1,General,"Describe your idea in a sentence or two. What is its primary goal?"
Idea Enquirer AI,Prc,Process Innovation / Efficiency,1. Concept Definition & Scope,Q2,General,"Who are the primary users or beneficiaries of this idea?"
Idea Enquirer AI,Prc,Process Innovation / Efficiency,1. Concept Definition & Scope,Q3,General,"What is the current state or existing solution (if any)? How is your idea different or better?"
Idea Enquirer AI,Prc,Process Innovation / Efficiency,1. Concept Definition & Scope,Q4,General,"What are the key features or components of your idea as you currently envision them?"
Idea Enquirer AI,Prc,Process Innovation / Efficiency,1. Concept Definition & Scope,Q-Prc1,Category-Specific,"Which specific internal or customer-facing process are you aiming to improve or redesign?"
Idea Enquirer AI,Prc,Process Innovation / Efficiency,2. Opportunity & Impact Analysis,Q5,General,"What is the potential impact or value if this idea is successfully implemented (e.g., revenue, cost savings, efficiency, user satisfaction, societal benefit)?"
Idea Enquirer AI,Prc,Process Innovation / Efficiency,2. Opportunity & Impact Analysis,Q6,General,"How would you measure the success of this idea? What are the key metrics?"
Idea Enquirer AI,Prc,Process Innovation / Efficiency,2. Opportunity & Impact Analysis,Q7,General,"What are the potential risks or challenges in implementing this idea?"
Idea Enquirer AI,Prc,Process Innovation / Efficiency,2. Opportunity & Impact Analysis,Q8,General,"Are there any known competitors or similar solutions? If so, what is your unique selling proposition?"
Idea Enquirer AI,Prc,Process Innovation / Efficiency,2. Opportunity & Impact Analysis,Q-Prc2,Category-Specific,"What are the expected benefits: e.g., time savings, cost reduction, quality improvement, reduced error rates? Can these be quantified?"
Idea Enquirer AI,Prc,Process Innovation / Efficiency,3. Solution Outline & Implementation Approach,Q9,General,"What resources (e.g., team, budget, technology, expertise) would be essential to develop and implement this idea?"
Idea Enquirer AI,Prc,Process Innovation / Efficiency,3. Solution Outline & Implementation Approach,Q10,General,"What would be the first few steps to explore or develop this idea further?"
